striker,non_striker,runs
KDK Vithanage,KC Sangakkara,52
RMS Eranga,RAS Lakmal,57
RAS Lakmal,RMS Eranga,25
AD Mathews,SMSM Senanayake,11
SMSM Senanayake,AD Mathews,5
DPMD Jayawardene,JK Silva,134
JK Silva,DPMD Jayawardene,151
JK Silva,LD Chandimal,92
LD Chandimal,JK Silva,133
DPMD Jayawardene,RMS Eranga,9
RMS Eranga,DPMD Jayawardene,8
MDK Perera,RMS Eranga,47
RMS Eranga,MDK Perera,23
HAPW Jayawardene,MDK Perera,4
MDK Perera,HAPW Jayawardene,8
HAPW Jayawardene,RMS Eranga,22
RMS Eranga,HAPW Jayawardene,7
RMS Eranga,N Pradeep,24
N Pradeep,RMS Eranga,4
DPMD Jayawardene,KDK Vithanage,86
KDK Vithanage,DPMD Jayawardene,116
MDK Perera,KC Sangakkara,6
KC Sangakkara,MDK Perera,9
KC Sangakkara,BAW Mendis,50
BAW Mendis,KC Sangakkara,47
KC Sangakkara,RAS Lakmal,82
RAS Lakmal,KC Sangakkara,5
WU Tharanga,JK Silva,195
JK Silva,WU Tharanga,80
WU Tharanga,KC Sangakkara,70
KC Sangakkara,WU Tharanga,46
